Customer|Name|Revision|Configurable|Name|Number|Revision|Description|Manufacturer|Name|Number|Revision|Description|ConfigurationOption|ConsolidatedReferences|CustomerPartNumber|Name|Value|Description|InternalPartNumber|IsSubAssembly|ItemNumber|Manufacturer|OptionCode|Package|PartLabel|PartRevision|PartType|Polarized|Quantity|Reference|RevisionMode|Socket|UnitOfIssue|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||CAP,100PF,50V,5%,C0G,CER,0402|04025A101JAT2A|no|35|KOA|||||Electronic||1||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||CAP,C0G,1000PF,50V,5%,0402,SMD|GRM1555C1H102JA01D|no|36|KOA|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||CAP,C0G,1000PF,50V,5%,0402,SMD|GRM1555C1H102JA01D|no|36|KOA|||||Electronic||2||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||CAP,0.01UF,50V,X7R,10%,CER,0402|GRM155R71H103KA88D|no|37|KOA|||||Electronic||5||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||CAP,0.01UF,50V,X7R,10%,CER,0402|GRM155R71H103KA88D|no|37|KOA|||||Electronic||5||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||CAP,0.01UF,50V,X7R,10%,CER,0402|GRM155R71H103KA88D|no|37|KOA|||||Electronic||5||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||CAP,0.01UF,50V,X7R,10%,CER,0402|GRM155R71H103KA88D|no|37|KOA|||||Electronic||5||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||CAP,0.01UF,50V,X7R,10%,CER,0402|GRM155R71H103KA88D|no|37|KOA|||||Electronic||5||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||CAP,0.1UF,16V,X7R,10%,0402|GRM155R71C104KA88D|no|38|KOA|||||Electronic||28||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||CAP,0.1UF,16V,X7R,10%,0402|GRM155R71C104KA88D|no|38|KOA|||||Electronic||28||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||CAP,0.1UF,16V,X7R,10%,0402|GRM155R71C104KA88D|no|38|KOA|||||Electronic||28||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||CAP,0.1UF,16V,X7R,10%,0402|GRM155R71C104KA88D|no|38|KOA|||||Electronic||28||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||CAP,0.1UF,16V,X7R,10%,0402|GRM155R71C104KA88D|no|38|KOA|||||Electronic||28||UseSpecific||EA|
REI-CCA|117167-REV3-REI|3_2|no||||PCBA,GPS EOS ROBUST|KOA||||||||||CAP,0.1UF,16V,X7R,10%,0402|GRM155R71C104KA88D|no|38|KOA|||||Electronic||28||UseSpecific||EA|
