Customer|Name|Revision|Configurable|Name|Number|Revision|Description|Manufacturer|Name|Number|Revision|Description|ConfigurationOption|ConsolidatedReferences|CustomerPartNumber|Name|Value|Description|InternalPartNumber|IsSubAssembly|ItemNumber|Manufacturer|OptionCode|Package|PartLabel|PartRevision|PartType|Polarized|Quantity|Reference|RevisionMode|Socket|UnitOfIssue|
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|"622-132-BB-NE"|""|""|"SWITCH"|"622-132-BB-NE"|yes|"10.25"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"STANDOFF  F/F 0.500 LG  0.250 DIA"|"8156-N-0440"|yes|"10.26"|""|""|""|""|""|"Electronic"|""|6|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"WASHER,FLAT,#4,N,U,XX,X,XX"|"W4NUXXXXX"|yes|"10.27"|""|""|""|""|""|"Generic"|""|6|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"SCREW,PAN-PHIL,4-40,0.375LG,K,U,XX,X,XX"|"GP4-40X3/8KUXXXXX"|yes|"10.28"|""|""|""|""|""|"Generic"|""|6|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"CLAMP, FLAT CABLE FOR 3"" WIDE FLAT"|"LPFCM34-A-C14"|yes|"10.29"|""|""|""|""|""|"Electronic"|""|2|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"TUBING, SPIRAL WRAP 0.750 OD, 0.065 WALL"|"SW-5"|yes|"10.30"|""|""|""|""|""|"Electronic"|""|.67|""|"UseSpecific"|""|"ft"
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"SCREW,PAN-PHIL,10-32,0.312LG,K,U,XX,X,X"|"GP10-32X5/16KUXXXXX"|yes|"10.31"|""|""|""|""|""|"Generic"|""|10|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"LOCKWASHER,0.200ID,0.373OD,INTERNAL,K,U"|"X10KUXXXXX"|yes|"10.32"|""|""|""|""|""|"Generic"|""|10|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"SCREW, FLAT HEAD, #6-32X3/8, PIN IN TORQ"|"96455A211"|yes|"10.33"|""|""|""|""|""|"Electronic"|""|9|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"SCREW,PAN-PHIL,6-32,0.250LG,K,U,XX,X,XX"|"GP6-32X1/4KUXXXXX"|yes|"10.34"|""|""|""|""|""|"Generic"|""|4|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"LOCKWASHER,0.145ID,0.185OD,INTERNAL,K,U"|"X6KUXXXXX"|yes|"10.35"|""|""|""|""|""|"Generic"|""|4|""|"UseSpecific"|""|""
"AMF-PIN"|"088-000-001-REVQ-AMF"|"Q"|no|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"6-32 KEPNUT"|"6-32KEPNUT"|yes|"10.36"|""|""|""|""|""|"Generic"|""|19|""|"UseSpecific"|""|""
